Fibonacci-Each;500ns
Fibonacci-Each;200ns
Fibonacci-Each;300ns
Fibonacci-Each;400ns
Fibonacci-Each;300ns
Fibonacci-Each;500ns
Fibonacci-Each;800ns
Fibonacci-Each;2900ns
Fibonacci-Each;1500ns
Fibonacci-Each;2300ns
Fibonacci-Each;3300ns
Fibonacci-Each;4300ns
Fibonacci-Each;6700ns
Fibonacci-Each;10900ns
Fibonacci-Each;24400ns
Fibonacci-Each;26500ns
Fibonacci-Each;45300ns
Fibonacci-Each;82500ns
Fibonacci-Each;142300ns
Fibonacci-Each;476900ns
Fibonacci-Each;398200ns
Fibonacci-Each;595200ns
Fibonacci-Each;846800ns
Fibonacci-Each;1347100ns
Fibonacci-Each;2100900ns
Fibonacci-Each;3843700ns
Fibonacci-Each;5515700ns
Fibonacci-Each;9498900ns
Fibonacci-Each;14510000ns
Fibonacci-Each;25556500ns
Fibonacci-Each;53406800ns
Fibonacci-Each;68891300ns
Fibonacci-Each;105286500ns
Fibonacci-Each;183440300ns
Fibonacci-Each;271113800ns
Fibonacci-Each;435560100ns
Fibonacci-Each;733647900ns
Fibonacci-Each;1307857500ns
Fibonacci-Each;2434389600ns
Fibonacci-Mean;1035685340ns
